FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-10.96758266969598,-34.505609644524746,-38.60633566795433,-11.217523583702706,-23.221237431316524,-12.517287408944407,-13.866111324955538,-7.326955060893725
-22.690346355860875,-26.10978073255513,-39.38637909554396,-25.936997243687223,-21.930475610318542,-15.559913090001036,-20.995542237348275,-16.07569794265454
-32.22428300630491,-20.81449708359031,-40.80204527280252,-37.92969870773035,-22.044786085215975,-19.6727503843587,-28.339615791933397,-23.602751362635853
-38.177401861711,-19.984025756076424,-42.99052159509509,-45.50533891426722,-24.05084597789229,-25.382725035634063,-35.80179728556456,-29.131141745525422
-40.35482079225053,-22.82969923214539,-45.59315938354469,-48.47232983661294,-27.30341198083584,-32.347360591650606,-42.84866165549748,-32.51339659598533
-39.57849791313538,-27.33331287413561,-48.16096830009931,-47.84933191306437,-30.56038436376072,-39.36027290212999,-48.61459278275515,-34.08208588248533
-37.11909065899634,-31.468888792749283,-50.409596408158535,-45.15684563590022,-32.70513272195897,-44.725350767023755,-52.17968055702976,-34.33552943805328
-34.12119728486615,-33.84903399502803,-52.08939174771036,-41.789758147935714,-33.14997899313535,-46.92288743855651,-52.93410468975879,-33.71041312856752
-31.31692187826284,-33.859077502303954,-52.825278722284075,-38.74274448054545,-31.896666319324627,-45.34574576647856,-50.9308152421988,-32.56345697092569
-29.05057872307419,-31.744789929636692,-52.318873215419586,-36.60606225529622,-29.48212222961438,-40.739019793997585,-47.05624985605792,-31.270764543043406
-27.430275300754808,-28.639376594886627,-50.73816369993238,-35.60938831941764,-26.84644952664564,-34.99488596715847,-42.81140921380102,-30.25634761796022
-26.43921360757477,-26.097216954718185,-48.74837631601813,-35.62830244497996,-24.96731030726883,-30.271833858652073,-39.66684366939147,-29.859933398924923
-25.993560086878865,-25.14206796886743,-47.01890730335661,-36.246966406994105,-24.314810402968725,-27.890209146717567,-38.301120268575445,-30.13739090763007
-26.013341237628968,-25.598634971161186,-45.70719093680254,-36.95822068963743,-24.542815730338923,-27.70481516213706,-38.236003402985176,-30.77152520393277
-26.50209805205741,-26.41645600833968,-44.48566340230063,-37.41259973675548,-24.77374456893271,-28.378232937841414,-38.16861525944458,-31.1862355243717
-27.545584360082493,-26.702060777371706,-43.03227415736662,-37.533477607731115,-24.290724615313586,-28.348777633643586,-36.80113093683618,-30.805413270461113
-29.188779523328726,-26.423541400742877,-41.37582072625029,-37.427261080176265,-23.033165870264444,-26.823803388452397,-33.62437416794389,-29.323284472014855
